synset,label,idx
n03032252,"cinema, movie theater, movie theatre, movie house, picture palace
",498
n03529860,"home theater, home theatre
",598
n03697007,"lumbermill, sawmill
",634
n03065424,"coil, spiral, volute, whorl, helix
",506
n03837869,"obelisk
",682
n04458633,"totem pole
",863
n02980441,"castle
",483
n04005630,"prison, prison house
",743
n03461385,"grocery store, grocery, food market, market
",582
n02776631,"bakery, bakeshop, bakehouse
",415
n02791270,"barbershop
",424
n02871525,"bookshop, bookstore, bookstall
",454
n02927161,"butcher shop, meat market
",467
n03089624,"confectionery, confectionary, candy store
",509
n04200800,"shoe shop, shoe-shop, shoe store
",788
n04443257,"tobacco shop, tobacconist shop, tobacconist
",860
n04462240,"toyshop
",865
n03388043,"fountain
",562
n03042490,"cliff dwelling
",500
n04613696,"yurt
",915
n03216828,"dock, dockage, docking facility
",536
n02892201,"brass, memorial tablet, plaque
",458
n03743016,"megalith, megalithic structure
",649
n02788148,"bannister, banister, balustrade, balusters, handrail
",421
n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty
",460
n03160309,"dam, dike, dyke
",525
n03000134,"chainlink fence
",489
n03930313,"picket fence, paling
",716
n04604644,"worm fence, snake fence, snake-rail fence, Virginia fence
",912
n04326547,"stone wall
",825
n03459775,"grille, radiator grille
",581
n04239074,"sliding door
",799
n04501370,"turnstile
",877
n03792972,"mountain tent
",672
n04149813,"scoreboard
",781
n03530642,"honeycomb
",599
n03961711,"plate rack
",729
n03903868,"pedestal, plinth, footstall
",708
n02814860,"beacon, lighthouse, beacon light, pharos
",437
n07711569,"mashed potato
",935
n07720875,"bell pepper
",945
n07714571,"head cabbage
",936
n07714990,"broccoli
",937
n07715103,"cauliflower
",938
n07716358,"zucchini, courgette
",939
n07716906,"spaghetti squash
",940
n07717410,"acorn squash
",941
n07717556,"butternut squash
",942
n07718472,"cucumber, cuke
",943
n07718747,"artichoke, globe artichoke
",944
n07730033,"cardoon
",946
n07734744,"mushroom
",947
n04209239,"shower curtain
",794
n03594734,"jean, blue jean, denim
",608
n02971356,"carton
",478
n03485794,"handkerchief, hankie, hanky, hankey
",591
n04133789,"sandal
",774
n02747177,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
",412
n04125021,"safe
",771
n07579787,"plate
",923
n03814906,"necklace
",679
n03134739,"croquet ball
",522
n03404251,"fur coat
",568
n04423845,"thimble
",855
n03877472,"pajama, pyjama, pj's, jammies
",697
n04120489,"running shoe
",770
n03062245,"cocktail shaker
",503
n03014705,"chest
",492
n03717622,"manhole cover
",640
n03777754,"modem
",662
n04493381,"tub, vat
",876
n04476259,"tray
",868
n02777292,"balance beam, beam
",416
n07693725,"bagel, beigel
",931
n03998194,"prayer rug, prayer mat
",741
n03617480,"kimono
",614
n07590611,"hot pot, hotpot
",926
n04579145,"whiskey jug
",901
n03623198,"knee pad
",615
n07248320,"book jacket, dust cover, dust jacket, dust wrapper
",921
n04277352,"spindle
",816
n04229816,"ski mask
",796
n02823428,"beer bottle
",440
n03127747,"crash helmet
",518
n02877765,"bottlecap
",455
n04435653,"tile roof
",858
n03724870,"mask
",643
n03710637,"maillot
",638
n03920288,"Petri dish
",712
n03379051,"football helmet
",560
n02807133,"bathing cap, swimming cap
",433
n04399382,"teddy, teddy bear
",850
n03527444,"holster
",597
n03983396,"pop bottle, soda bottle
",737
n03924679,"photocopier
",713
n04532106,"vestment
",887
n06785654,"crossword puzzle, crossword
",918
n03445777,"golf ball
",574
n07613480,"trifle
",927
n04350905,"suit, suit of clothes
",834
n04562935,"water tower
",900
n03325584,"feather boa, boa
",552
n03045698,"cloak
",501
n07892512,"red wine
",966
n03250847,"drumstick
",542
n04192698,"shield, buckler
",787
n03026506,"Christmas stocking
",496
n03534580,"hoopskirt, crinoline
",601
n07565083,"menu
",922
n04296562,"stage
",819
n02869837,"bonnet, poke bonnet
",452
n07871810,"meat loaf, meatloaf
",962
n02799071,"baseball
",429
n03314780,"face powder
",551
n04141327,"scabbard
",777
n04357314,"sunscreen, sunblock, sun blocker
",838
n02823750,"beer glass
",441
n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
",996
n07583066,"guacamole
",924
n03637318,"lampshade, lamp shade
",619
n04599235,"wool, woolen, woollen
",911
n07802026,"hay
",958
n02883205,"bow tie, bow-tie, bowtie
",457
n03709823,"mailbag, postbag
",636
n04560804,"water jug
",899
n02909870,"bucket, pail
",463
n03207743,"dishrag, dishcloth
",533
n04263257,"soup bowl
",809
n07932039,"eggnog
",969
n03786901,"mortar
",666
n04479046,"trench coat
",869
n03873416,"paddle, boat paddle
",693
n02999410,"chain
",488
n04367480,"swab, swob, mop
",840
n03775546,"mixing bowl
",659
n07875152,"potpie
",964
n04591713,"wine bottle
",907
n04201297,"shoji
",789
n02916936,"bulletproof vest
",465
n03240683,"drilling platform, offshore rig
",540
n02840245,"binder, ring-binder
",446
n02963159,"cardigan
",474
n04370456,"sweatshirt
",841
n03991062,"pot, flowerpot
",738
n02843684,"birdhouse
",448
n03482405,"hamper
",588
n03942813,"ping-pong ball
",722
n03908618,"pencil box, pencil case
",709
n03902125,"pay-phone, pay-station
",707
n07584110,"consomme
",925
n02730930,"apron
",411
n04023962,"punching bag, punch bag, punching ball, punchball
",747
n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack
",414
n10148035,"groom, bridegroom
",982
n02817516,"bearskin, busby, shako
",439
n03908714,"pencil sharpener
",710
n02906734,"broom
",462
n03788365,"mosquito net
",669
n02667093,"abaya
",399
n03787032,"mortarboard
",667
n03980874,"poncho
",735
n03141823,"crutch
",523
n03976467,"Polaroid camera, Polaroid Land camera
",732
n04264628,"space bar
",810
n07930864,"cup
",968
n04039381,"racket, racquet
",752
n06874185,"traffic light, traffic signal, stoplight
",920
n04033901,"quill, quill pen
",749
n04041544,"radio, wireless
",754
n07860988,"dough
",961
n03146219,"cuirass
",524
n03763968,"military uniform
",652
n03676483,"lipstick, lip rouge
",629
n04209133,"shower cap
",793
n03782006,"monitor
",664
n03857828,"oscilloscope, scope, cathode-ray oscilloscope, CRO
",688
n03775071,"mitten
",658
n02892767,"brassiere, bra, bandeau
",459
n07684084,"French loaf
",930
n04522168,"vase
",883
n03764736,"milk can
",653
n04118538,"rugby ball
",768
n03887697,"paper towel
",700
n13044778,"earthstar
",995
n03291819,"envelope
",549
n03770439,"miniskirt, mini
",655
n03124170,"cowboy hat, ten-gallon hat
",515
n04487081,"trolleybus, trolley coach, trackless trolley
",874
n03916031,"perfume, essence
",711
n02808440,"bathtub, bathing tub, bath, tub
",435
n07697537,"hotdog, hot dog, red hot
",934
n12985857,"coral fungus
",991
n02917067,"bullet train, bullet
",466
n03938244,"pillow
",721
n15075141,"toilet tissue, toilet paper, bathroom tissue
",999
n02978881,"cassette
",481
n02966687,"carpenter's kit, tool kit
",477
n03633091,"ladle
",618
n13040303,"stinkhorn, carrion fungus
",994
n03690938,"lotion
",631
n03476991,"hair spray
",585
n02669723,"academic gown, academic robe, judge's robe
",400
n03220513,"dome
",538
n03127925,"crate
",519
n04584207,"wig
",903
n07880968,"burrito
",965
n03937543,"pill bottle
",720
n03000247,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
",490
n04418357,"theater curtain, theatre curtain
",854
n04590129,"window shade
",905
n02795169,"barrel, cask
",427
n04553703,"washbasin, handbasin, washbowl, lavabo, wash-hand basin
",896
n02783161,"ballpoint, ballpoint pen, ballpen, Biro
",418
n02802426,"basketball
",430
n02808304,"bath towel
",434
n03124043,"cowboy boot
",514
n03450230,"gown
",578
n04589890,"window screen
",904
n12998815,"agaric
",992
n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone
",487
n03825788,"nipple
",680
n02790996,"barbell
",422
n03710193,"mailbox, letter box
",637
n03630383,"lab coat, laboratory coat
",617
n03347037,"fire screen, fireguard
",556
n03769881,"minibus
",654
n03871628,"packet
",692
n03733281,"maze, labyrinth
",646
n03976657,"pole
",733
n03535780,"horizontal bar, high bar
",602
n04259630,"sombrero
",808
n03929855,"pickelhaube
",715
n04049303,"rain barrel
",756
n04548362,"wallet, billfold, notecase, pocketbook
",893
n02979186,"cassette player
",482
n06596364,"comic book
",917
n03935335,"piggy bank, penny bank
",719
n06794110,"street sign
",919
n02825657,"bell cote, bell cot
",442
n03388183,"fountain pen
",563
n04591157,"Windsor tie
",906
n04540053,"volleyball
",890
n03866082,"overskirt
",689
n04136333,"sarong
",775
n04026417,"purse
",748
n02865351,"bolo tie, bolo, bola tie, bola
",451
n02834397,"bib
",443
n03888257,"parachute, chute
",701
n04235860,"sleeping bag
",797
n04404412,"television, television system
",851
n04371430,"swimming trunks, bathing trunks
",842
n03733805,"measuring cup
",647
n07920052,"espresso
",967
n07873807,"pizza, pizza pie
",963
n02895154,"breastplate, aegis, egis
",461
n04204238,"shopping basket
",790
n04597913,"wooden spoon
",910
n04131690,"saltshaker, salt shaker
",773
n07836838,"chocolate sauce, chocolate syrup
",960
n09835506,"ballplayer, baseball player
",981
n03443371,"goblet
",572
n13037406,"gyromitra
",993
n04336792,"stretcher
",830
n04557648,"water bottle
",898
n03187595,"dial telephone, dial phone
",528
n04254120,"soap dispenser
",804
n03595614,"jersey, T-shirt, tee shirt
",610
n04146614,"school bus
",779
n03598930,"jigsaw puzzle
",611
n03958227,"plastic bag
",728
n04069434,"reflex camera
",759
n03188531,"diaper, nappy, napkin
",529
n02786058,"Band Aid
",419
n07615774,"ice lolly, lolly, lollipop, popsicle
",929
n04525038,"velvet
",885
n04409515,"tennis ball
",852
n03424325,"gasmask, respirator, gas helmet
",570
n03223299,"doormat, welcome mat
",539
n03680355,"Loafer
",630
n07614500,"ice cream, icecream
",928
n07695742,"pretzel
",932
n04033995,"quilt, comforter, comfort, puff
",750
n03710721,"maillot, tank suit
",639
n04392985,"tape player
",848
n03047690,"clog, geta, patten, sabot
",502
n03584254,"iPod
",605
n13054560,"bolete
",997
n10565667,"scuba diver
",983
n03950228,"pitcher, ewer
",725
n03729826,"matchstick
",644
n02837789,"bikini, two-piece
",445
n04254777,"sock
",806
n02988304,"CD player
",485
n03657121,"lens cap, lens cover
",622
n04417672,"thatch, thatched roof
",853
n04523525,"vault
",884
n02815834,"beaker
",438
n09229709,"bubble
",971
n07697313,"cheeseburger
",933
n03888605,"parallel bars, bars
",702
n03355925,"flagpole, flagstaff
",557
n03063599,"coffee mug
",504
n04116512,"rubber eraser, rubber, pencil eraser
",767
n04325704,"stole
",824
n07831146,"carbonara
",959
n03255030,"dumbbell
",543
